professor_name,department_name,state_name,star_rating,edugood_rating,eduaproval
Gary  Toller,Physics department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",3.4,34,NAY
Julie  Geiger,Theater department,"plot no, barapita,odishaChandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Sainik School Rd, Unit Lingaraj Nagar, Old Town, Bhubaneswar, Gajapati Nagar, Bhubaneswar,",3.1,6.2,NAY
Dinora  Cardoso,Languages department,"Barang Station, Barang, Bhubaneswar",3,9,NAY
Frank  Tsui,Physics department,"Lingaraj Nagar, Old Town, Bhubaneswar",3,39,NAY
Priscilla  Underwood,English department,"barapita,odisha",2.3,34.5,NAY
Michele  Serra,Speech department,"Barang Station, Barang, Bhubaneswar",4.8,14.4,NAY
Bob  Baugher,Psychology department,"Prakriti Tower,Patia, Bhubaneswar, ",4.7,14.1,NAY
Carla  Steinberg,English department,"Barang Station, Barang, Bhubaneswar",4.4,17.6,NAY
Wendy  Ho,Women\'s Studies department,"Barang Station, Barang, Bhubaneswar",2.8,14,NAY
Andy  Jones,English department,"Barang Station, Barang, Bhubaneswar",4.4,48.4,NAY
Tom  Kemetzo,Philosophy department,"Lumbini Vihar, Neeladri Vihar, Chandrasekharpur, Bhubaneswar",4.8,14.4,NAY
Carl  Jorgensen,Sociology department,"Barang Station, Barang, Bhubaneswar",2.2,17.6,NAY
Mary  Donaghy,Sociology department,"Nandankanan Rd, near Hyundai Showroom, Patia, Bhubaneswar",4.2,46.2,NAY
Carroll  Hale,Fine Arts department,"VIP Road, next to Hotel Lee Garden, Puri",4.8,57.6,NAY
Tyler  Spalding,Engineering department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.4,22,NAY
Alan  Bell,Fine Arts department,"JSS Software Tech Park, B Block, Chandaka Industrial Estate, Infocity, Chandrasekharpur, Bhubaneswar",2.8,16.8,NAY
Jim  Mulrooney,Biology department,"Lumbini Vihar, Neeladri Vihar, Chandrasekharpur, Bhubaneswar",4.8,52.8,NAY
Dave  Kowalka,Education department,"Forest Park, Bhubaneswar",4.4,30.8,NAY
Antonio  Rodriguez,Science department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",1.8,3.6,NAY
Gerald  O\'Connell,History department,"Lumbini Vihar, Neeladri Vihar, Chandrasekharpur, Bhubaneswar",5,10,NAY
Ramona  Girdauskas,Accounting department,"Gandamunda, Pokhariput, Bhubaneswar",3.9,23.4,NAY
Kenneth  Hicks,Business department,"Gandamunda, Pokhariput, Bhubaneswar",2.6,7.8,NAY
Cindy  Herbert,Computer Science department,"BMC Bhawani Mall, Maharishi College Rd, Saheed Nagar, Bhubaneswar",4.5,27,NAY
Mark  Bryan,Theater department,"Forest Park, Bhubaneswar",4.8,33.6,NAY
Daniel  Fonseca,Engineering department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.2,58.8,NAY
Bill  Babula,English department,"Barang Station, Barang, Bhubaneswar",4.4,17.6,NAY
Charlie  Sweet,English department,"VIP Road, next to Hotel Lee Garden, Puri",3.8,7.6,NAY
Hal  Blythe,English department,"VIP Road, next to Hotel Lee Garden, Puri",4.9,19.6,NAY
Dr. William  Neugebauer,Education department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",4,48,NAY
John  Curra,Sociology department,"VIP Road, next to Hotel Lee Garden, Puri",3.9,27.3,NAY
Charles  O\'Brien,Film department,"Gandamunda, Pokhariput, Bhubaneswar",3.9,35.1,NAY
Tracy  Chapple,Psychology department,"Lingaraj Nagar, Old Town, Bhubaneswar",3.5,42,NAY
Kelli  Carmean,Anthropology department,"VIP Road, next to Hotel Lee Garden, Puri",4,44,NAY
Courtney  Fairweather,Languages department,"Gandamunda, Pokhariput, Bhubaneswar",3.7,33.3,NAY
Mortez  Aabdollah,Computer Science department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",3.8,45.6,NAY
Michael  Suetta,Ethnic Studies department,"Satya Nagar, Bhubaneswar",4.9,34.3,NAY
Martin  Bakker,Chemistry department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",2.3,2.3,NAY
Daphne  Huntley,English department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.4,39.6,NAY
Ronald  Robel,History department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",3.6,7.2,NAY
Brennda  Young,English department,"Ashok Nagar, Bhubaneswar",4.1,24.6,NAY
Lynn  Zeigler,Science department,"Ashok Nagar, Bhubaneswar",4.3,38.7,NAY
Pat  Zrolka,Mathematics department,"Ashok Nagar, Bhubaneswar",4.8,43.2,NAY
Shelly  Hancock,English department,"VIP Road, next to Hotel Lee Garden, Puri",4.5,27,NAY
Raines  Carter,Law department,"Ashok Nagar, Bhubaneswar",4.8,43.2,NAY
Fredoline O  Annunobi,Economics department,"Ashok Nagar, Bhubaneswar",2.8,8.4,NAY
Beryl  Kalisa,History department,"Ashok Nagar, Bhubaneswar",3.3,23.1,NAY
Gale L.  Jones-Hardimon,Sociology department,"Ashok Nagar, Bhubaneswar",4.7,9.4,NAY
Ed  Bosworth,Computer Science department,"Ashok Nagar, Bhubaneswar",2.4,21.6,NAY
F.S.J.  Ledgister,Political Science department,"Ashok Nagar, Bhubaneswar",4.4,52.8,NAY
Lana  Carnes,Business department,"VIP Road, next to Hotel Lee Garden, Puri",3.5,42,NAY
Hashim  Gibrill,Political Science department,"Ashok Nagar, Bhubaneswar",5,50,NAY
Abi  Awomolo,Political Science department,"Ashok Nagar, Bhubaneswar",4,36,NAY
Beth  Todd,Engineering department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.3,64.5,NAY
Michael  Devine,Theater department,"Sijua, Patrapada, Bhubaneswar",4.4,30.8,NAY
Elizabeth  Salter,Anthropology department,"Airport Rd, Aerodrome Area, Bhubaneswar",3.2,22.4,NAY
John  Baker,Engineering department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.4,57.2,NAY
Clark  Midkiff,Engineering department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.5,40.5,NAY
Keith  Williams,Engineering department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.1,61.5,NAY
Joey  Parker,Engineering department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.4,35.2,NAY
Anwarul  Haque,Engineering department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",3.5,38.5,NAY
Muhammad  Sharif,Engineering department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",2.9,8.7,NAY
Mary  McHugh,Political Science department,"barapita,odisha",4.7,65.8,NAY
Jon  McFarland,Theology department,"Barang Station, Barang, Bhubaneswar",4,8,NAY
Thomas  Hu,Mathematics department,"Barang Station, Barang, Bhubaneswar",3.9,15.6,NAY
Marc  Stern,History department,"barapita,odisha",3.2,35.2,NAY
Catherine  Welch,Journalism department,"BMC Bhawani Mall, Maharishi College Rd, Saheed Nagar, Bhubaneswar",3.7,11.1,NAY
Paul  Pecorino,Economics department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",3.5,7,NAY
Sandra  Hampel,Mathematics department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.4,57.2,NAY
Doyoung  Lee,Asian American Studies department,"BMC Bhawani Mall St, Saheed Nagar, Bhubaneswar",2.3,6.9,NAY
Neil  Heywood,Geography department,"Nalco Bhavan, P/Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Nayapalli, Bhubaneswar",3.7,40.7,NAY
John  Beneski,Science department,"Satya Nagar, Bhubaneswar",2.8,2.8,NAY
Tim  Grover,Science department,"Plot No Gandamunda, Pokhariput, BhubaneswarKharvela Nagar, Bhubaneswar,Rudrapur, Bhubaneswar",3.4,30.6,NAY
Trish  Root,Physical Ed department,"Prakriti Tower,Patia, Bhubaneswar, ",4.7,65.8,NAY
Thomas  Monarque,Criminal Justice department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.8,33.6,NAY
Frederick  Phelps,Physics department,"Bindu Sagar, Old Town, Bhubaneswar",1.6,4.8,NAY
Rick  Olguin,Political Science department,"Prakriti Tower,Patia, Bhubaneswar, ",4.1,28.7,NAY
Brett  Tjaden,Computer Science department,"Infocity Ave, P.S.- New Capital, Patia, Bhubaneswar",3.7,55.5,NAY
Charles  Dirks,Political Science department,"Barang Station, Barang, Bhubaneswar",4.6,59.8,NAY
Sue  Parker,Not Specified department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",3.5,52.5,NAY
Sonia  Werner,Psychology department,"Satya Nagar, Bhubaneswar",4,56,NAY
Thane  Glenn,English department,"Satya Nagar, Bhubaneswar",4.5,63,NAY
Wendy  Closterman,History department,"Satya Nagar, Bhubaneswar",3.6,21.6,NAY
Linda  Dessner,English department,"Satya Nagar, Bhubaneswar",3,12,NAY
Suzanne  Bernhardt,English department,"Satya Nagar, Bhubaneswar",2.6,36.4,NAY
A J  Senchack,Business department,"Airport Rd, Aerodrome Area, Bhubaneswar",3.2,32,NAY
Vickie  Lair,Mathematics department,"Forest Park, Bhubaneswar",2.8,11.2,NAY
Judy  Adams,Mathematics department,"edu Valley Kiss Jagannath Temple Road, Bhubaneswar",1.3,6.5,NAY
John  Russell,Philosophy department,"Satya Nagar, Bhubaneswar",4.4,8.8,NAY
Brian  Rose,Communication department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4.1,41,NAY
R.  Donahoe,Geology department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",2.7,37.8,NAY
Kevin  Hanson,Film department,"Chandrasekharpur, Bhubaneswar",3.6,43.2,NAY
Jesse  Delgado,Sociology department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.1,8.2,NAY
John  Constantino,History department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.9,49,NAY
Daniel  Talham,Chemistry department,"Kharvela Nagar, Bhubaneswar",4,56,NAY
Jennifer  Krozier,Criminal Justice department,"Khandagiri, Bhubaneswar",4.4,8.8,NAY
Ruthie  Dare-Halma,Computer Science department,"BMC Bhawani Mall, Maharishi College Rd, Saheed Nagar, Bhubaneswar",2.5,7.5,NAY
Tanya  Usyk,Mathematics department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",2.9,40.6,NAY
Lena  Usyk,Mathematics department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",3.2,41.6,NAY
Allan R  Baer,Medicine department,"Gandamunda, Pokhariput, Bhubaneswar",3.5,49,NAY
J.  Weathers,Education department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",1,2,NAY
John  Baer,Education department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.1,41,NAY
Pamela  Cumpton,English department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",4.8,24,NAY
Charlene  Dalrymple,Music department,"barapita,odisha",5,20,NAY
Tom  Harris,Communication department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.3,21.5,NAY
Doug  Zentz,Engineering department,"Bindu Sagar, Old Town, Bhubaneswar",3.2,41.6,NAY
Mary  Curtner Smith,Humanities department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",3.2,35.2,NAY
Scott  Hancock,History department,"Satya Nagar, Bhubaneswar",3.9,50.7,NAY
Raymond  Wolf,English department,"Kharvela Nagar, Bhubaneswar",4,40,NAY
Tom  Barker,Criminal Justice department,"VIP Road, next to Hotel Lee Garden, Puri",4.7,42.3,NAY
Chuck  Fields,Criminal Justice department,"VIP Road, next to Hotel Lee Garden, Puri",4.2,50.4,NAY
Derek  Paulsen,Criminal Justice department,"VIP Road, next to Hotel Lee Garden, Puri",3,24,NAY
Glenda  Williams,Communication department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.6,50.6,NAY
Danny  Welsch,Geography department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",4.5,22.5,NAY
Anne  Ramirez,English department,"Satya Nagar, Bhubaneswar",1.5,21,NAY
Robert  Rafalko,Philosophy department,"Lumbini Vihar, Neeladri Vihar, Chandrasekharpur, Bhubaneswar",3.5,7,NAY
Kazim  Ruhi,Business department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",3.7,40.7,NAY
Michael D  Kawaja,Anatomy department,"Gandamunda, Pokhariput, Bhubaneswar",3.8,26.6,NAY
Barbara  Kimmelman,History department,"Satya Nagar, Bhubaneswar",3.1,31,NAY
John  Arbegust,Languages department,"VIP Road, next to Hotel Lee Garden, Puri",4.4,8.8,NAY
Michael  Martone,English department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.9,73.5,NAY
Leah  Hutchison,English department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.3,21.5,NAY
B.R.  Smith,Fine Arts department,"Bindu Sagar, Old Town, Bhubaneswar",2.6,7.8,NAY
Eugene  Cuevas,English department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",3.3,26.4,NAY
Susan  Sailors,English department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.6,69,NAY
Mike  Morucci,Mathematics department,"Kharvela Nagar, Bhubaneswar",2.5,20,NAY
Linda  Bobo,Medicine department,"Airport Rd, Aerodrome Area, Bhubaneswar",4,8,NAY
Vo  Liem,Mathematics department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",3.1,12.4,NAY
James  Nesta,Physics department,"Barang Station, Barang, Bhubaneswar",4,4,NAY
Susan  Cole,Pharmacology department,"Gandamunda, Pokhariput, Bhubaneswar",3.2,12.8,NAY
P  Nicoletto,Biology department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.1,32.8,NAY
Betty  Given,Mathematics department,"VIP Road, next to Hotel Lee Garden, Puri",3.1,12.4,NAY
Bob  Fey,Economics department,"Barang Station, Barang, Bhubaneswar",2.8,5.6,NAY
Nathan  Greene,Geology department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.5,13.5,NAY
Chris  Gould,Film department,"Gandamunda, Pokhariput, Bhubaneswar",4.9,63.7,NAY
Tom  Albright,Accounting department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",3.7,25.9,NAY
Susan  Lindahl,Music department,"Bindu Sagar, Old Town, Bhubaneswar",4.3,8.6,NAY
Melbourne  Hovell,Health Science department,"Barang Station, Barang, Bhubaneswar",2.7,18.9,NAY
John  Alcaraz,Health Science department,"Barang Station, Barang, Bhubaneswar",2.7,29.7,NAY
Jenny  Quintana,Health Science department,"Barang Station, Barang, Bhubaneswar",3.8,34.2,NAY
C  Jochim,Humanities department,"Barang Station, Barang, Bhubaneswar",4.2,50.4,NAY
Daniel  Rodeheaver,Sociology department,"Airport Rd, Aerodrome Area, Bhubaneswar",2.3,27.6,NAY
Susan  Keehn,Education department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.5,18,NAY
Jerry  Scripps,Computer Science department,"Bindu Sagar, Old Town, Bhubaneswar",3.2,28.8,NAY
Richard  Gendron,Social Science department,"barapita,odisha",4.5,67.5,NAY
William  Smith,Criminal Justice department,"Airport Rd, Aerodrome Area, Bhubaneswar",5,55,NAY
Laura  Orella,English department,"Barang Station, Barang, Bhubaneswar",2.2,28.6,NAY
Wayne  Erickson,English department,"Ashok Nagar, Bhubaneswar",4,48,NAY
Audrey  Cohen,Business department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.5,5,NAY
Stafford  Rorke,Health Science department,"Bindu Sagar, Old Town, Bhubaneswar",4.4,52.8,NAY
Sophie  Weeks,English department,"Ashok Nagar, Bhubaneswar",4.5,27,NAY
Leon  Stokesbury,English department,"Ashok Nagar, Bhubaneswar",2.9,40.6,NAY
Shele  Bannon,Accounting department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",5,10,NAY
John  Westwater,Mathematics department,"Prakriti Tower,Patia, Bhubaneswar, ",2.2,4.4,NAY
Mary Ann  Nichols,English department,"Barang Station, Barang, Bhubaneswar",3.5,21,NAY
Lisa  Mach,English department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.8,62.4,NAY
Francis  Catalano,Humanities department,"Barang Station, Barang, Bhubaneswar",4.4,26.4,NAY
Steven  Jones,Music department,"Barang Station, Barang, Bhubaneswar",4.8,67.2,NAY
McClain,Economics department,"Barang Station, Barang, Bhubaneswar",2.4,16.8,NAY
Chris  Boucher,History department,"plot no, barapita,odishaChandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Sainik School Rd, Unit Lingaraj Nagar, Old Town, Bhubaneswar, Gajapati Nagar, Bhubaneswar,",4.3,34.4,NAY
Peter  Foreman,Management department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3,36,NAY
Karen  Debalbian,English department,"Satya Nagar, Bhubaneswar",3.6,25.2,NAY
Jay  Ko,Mathematics department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3.5,17.5,NAY
Brandy  Zito,Business department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",3.8,49.4,NAY
Philippe  Bossaers,Mathematics department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3.9,39,NAY
Dave  Heggem,Business department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.7,32.9,NAY
Jeff  Bernhardt,English department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",2.7,29.7,NAY
Thomas  Schnarre,English department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3.3,9.9,NAY
J.W.  Morrissette,Theater department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",4.8,14.4,NAY
Asif  Zaidi,Physics department,"Gandamunda, Pokhariput, Bhubaneswar",1.8,3.6,NAY
Pat  Sawyer,Psychology department,"Lumbini Vihar, Neeladri Vihar, Chandrasekharpur, Bhubaneswar",4.7,23.5,NAY
Freda  Decerbo,Psychology department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3.7,33.3,NAY
Julie  Weishar,Theater department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3.5,28,NAY
Richard  Fern,Accounting department,"VIP Road, next to Hotel Lee Garden, Puri",3.2,22.4,NAY
Hugh  Afshari,History department,"Barang Station, Barang, Bhubaneswar",4.1,49.2,NAY
G. Creighton  Frampton,Business department,"Satya Nagar, Bhubaneswar",3.6,36,NAY
Patrick Martin  Petkovich,Biochemistry department,"Gandamunda, Pokhariput, Bhubaneswar",4.4,70.4,NAY
John  Ferguson,Education department,"VIP Road, next to Hotel Lee Garden, Puri",4.3,60.2,NAY
Suzanne  Gessner,Linguistics department,"JSS Software Tech Park, B Block, Chandaka Industrial Estate, Infocity, Chandrasekharpur, Bhubaneswar",4.6,13.8,NAY
Bill  Peterson,Psychology department,"barapita,odisha",4.8,52.8,NAY
Paulo  Horta,Humanities department,"JSS Software Tech Park, B Block, Chandaka Industrial Estate, Infocity, Chandrasekharpur, Bhubaneswar",3,12,NAY
Jamie  Mills,Education department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",1.6,24,NAY
Tim  Inman,English department,"Bindu Sagar, Old Town, Bhubaneswar",3.9,39,NAY
Ryan  Meany,English department,"Kharvela Nagar, Bhubaneswar",3.5,17.5,NAY
Michael  Chaney,Film department,"Ashok Nagar, Bhubaneswar",4.3,60.2,NAY
Jeffrey  Gutliph,Mathematics department,"Ashok Nagar, Bhubaneswar",4.5,18,NAY
James  Daybell,History department,"Bindu Sagar, Old Town, Bhubaneswar",4,40,NAY
Bill  O\'Neill,Sociology department,"Barang Station, Barang, Bhubaneswar",3.8,19,NAY
Paul  Haynie,History department,"Nandankanan Rd, near Hyundai Showroom, Patia, Bhubaneswar",4.3,55.9,NAY
Kayla  Haynie,English department,"Nandankanan Rd, near Hyundai Showroom, Patia, Bhubaneswar",4.7,56.4,NAY
Elizabeth  Bloch-Smith,Theology department,"Satya Nagar, Bhubaneswar",3.3,36.3,NAY
Roger  Magyar,Philosophy department,"Satya Nagar, Bhubaneswar",1.2,1.2,NAY
Theodore  Venema,Health Science department,"Gandamunda, Pokhariput, Bhubaneswar",5,20,NAY
Karthik  Silaipillayarputhur,Engineering department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.8,62.4,NAY
Bryan  Fair,Law department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",4.4,57.2,NAY
Eric  Rawdon,Mathematics department,"Satya Nagar, Bhubaneswar",4.2,16.8,NAY
Kevin  Rahimzadeh,English department,"VIP Road, next to Hotel Lee Garden, Puri",4.5,22.5,NAY
Francis  Chan,Anatomy department,"Gandamunda, Pokhariput, Bhubaneswar",4.8,24,NAY
Monica  Reimer,Chemistry department,"JSS Software Tech Park, B Block, Chandaka Industrial Estate, Infocity, Chandrasekharpur, Bhubaneswar",1.7,5.1,NAY
William  Masten,Psychology department,"Airport Rd, Aerodrome Area, Bhubaneswar",3.4,20.4,NAY
Adele  Mueller,Sociology department,"Khata No Plot No Gandamunda, Pokhariput, BhubaneswarKharvela Nagar, Bhubaneswar,Rudrapur, BhubaneswarSaheed Nagar, Bhubaneswar, Unit Jaydev Vihar, Nandankanan Rd, BhubaneswarChandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Master Canteen Area, Kharvela Nagar",2.6,15.6,NAY
Mary  Talbert,Mathematics department,"Maitre Vihar Rd, Maitri Vihar, NALCO Nagar, Chandrasekharpur, Bhubaneswar",4.9,14.7,NAY
Mary  Phillips,Biology department,"Maitre Vihar Rd, Maitri Vihar, NALCO Nagar, Chandrasekharpur, Bhubaneswar",4.1,8.2,NAY
Mike  Dinneen,Political Science department,"Maitre Vihar Rd, Maitri Vihar, NALCO Nagar, Chandrasekharpur, Bhubaneswar",4.7,18.8,NAY
Jeremy  Rosenau,Business department,"Satya Nagar, Bhubaneswar",3,18,NAY
Marvin  Payne,Not Specified department,"Barang Station, Barang, Bhubaneswar",2,22,NAY
D.S.  Cody,Chemistry department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.4,44.2,NAY
Teddie  Bonca,English department,"Barang Station, Barang, Bhubaneswar",4.2,16.8,NAY
Scott  Churchill,Psychology department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.2,54.6,NAY
Sherry  Rodgers,Biology department,"Prakriti Tower,Patia, Bhubaneswar, ",4.6,18.4,NAY
Vickie  Sanchez,Health Science department,"VIP Road, next to Hotel Lee Garden, Puri",4.1,12.3,NAY
Vladimir  Tulovsky,Mathematics department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.4,47.6,NAY
Karen  Camarata,Health Science department,"VIP Road, next to Hotel Lee Garden, Puri",3,18,NAY
Jerry  Colasurdo,Sociology department,"Barang Station, Barang, Bhubaneswar",4.1,20.5,NAY
Derick  Holcomb,Health Science department,"VIP Road, next to Hotel Lee Garden, Puri",4.1,32.8,NAY
Michael  Ballard,Health Science department,"VIP Road, next to Hotel Lee Garden, Puri",3.5,52.5,NAY
Wm. David  Sloan,Journalism department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, BhubaneswarA, Infocity Ave, Chandrasekharpur, Bhubaneswar",2.8,19.6,NAY
Kec  Keller,History department,"Satya Nagar, Bhubaneswar",4.4,8.8,NAY
Larry  Cox,Economics department,"BMC Bhawani Mall, Maharishi College Rd, Saheed Nagar, Bhubaneswar",2.7,8.1,NAY
Peter  Geib,Business department,"Lazystay Grand,Biggies Berger Building, KIIT Rd, near Axis Bank, Patia, Bhubaneswar",4.5,58.5,NAY
Michelle  Burnham,English department,"Barang Station, Barang, Bhubaneswar",3.5,45.5,NAY
Chris  Hoyt,Philosophy department,"Lingaraj Nagar, Old Town, Bhubaneswar",3.5,42,NAY
Howard  Shorr,History department,"Chandrasekharpur, Bhubaneswar",2.9,17.4,NAY
Greg  Heberling,Business department,"Khandagiri, Bhubaneswar",3.4,27.2,NAY
Andrew  Preston,History department,"JSS Software Tech Park, B Block, Chandaka Industrial Estate, Infocity, Chandrasekharpur, Bhubaneswar",4.9,9.8,NAY
Philip  Harsha,Accounting department,"BMC Bhawani Mall, Maharishi College Rd, Saheed Nagar, Bhubaneswar",2.4,31.2,NAY
John  Handy,Economics department,"Ashok Nagar, Bhubaneswar",4.5,40.5,NAY
Gretchan  Van Lente,English department,"Kharvela Nagar, Bhubaneswar",4.3,8.6,NAY
